                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                  1.582,                  1.478,                 1.6758,                0.51176,                 0.4123,                0.40778,                0.16666,                 2.1062,                 2.0022,                 2.0353,             0.00085009,             0.00085009,             0.00085009
                    101,                  1.572,                 1.4689,                 1.6733,                0.54066,                0.40835,                 0.3954,                 0.1626,                 2.0684,                 1.9949,                 2.0163,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.5962,                 1.4862,                    1.7,                0.53714,                0.38815,                0.40493,                0.16874,                 2.0817,                 2.0272,                 2.0051,             0.00083358,             0.00083358,             0.00083358
                    103,                  1.583,                 1.4711,                 1.6829,                0.49448,                0.41503,                0.41094,                 0.1771,                  2.033,                 1.9332,                 1.9822,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.5813,                 1.4276,                 1.6896,                0.53977,                0.39845,                0.41044,                0.16777,                 2.0792,                 1.9321,                 2.0175,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.5692,                 1.4342,                  1.672,                0.46035,                0.39694,                0.37371,                0.14929,                 2.1129,                 1.9939,                 2.0473,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.5715,                 1.4174,                 1.6719,                0.51439,                0.40607,                0.40353,                0.17158,                 2.0343,                 1.9289,                 1.9778,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.5845,                 1.4414,                  1.708,                0.53697,                0.43502,                0.43496,                0.17888,                 2.0671,                 1.8669,                 1.9976,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.5604,                 1.3885,                  1.662,                0.53376,                0.38506,                0.40218,                0.16427,                 2.1338,                 2.0081,                 2.0585,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.5698,                 1.4276,                 1.6739,                0.50661,                0.42656,                0.40899,                0.16778,                 2.0949,                 1.9436,                 2.0301,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.5774,                 1.4413,                  1.692,                0.49195,                0.41018,                0.41359,                0.17278,                 2.0895,                 1.9297,                 2.0289,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.5601,                 1.4224,                 1.6675,                 0.5467,                0.40152,                0.41752,                0.17385,                   2.05,                 2.0487,                 2.0036,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.5627,                 1.4142,                 1.6634,                0.46879,                0.40425,                0.38499,                0.15387,                 2.1167,                 1.9869,                 2.0467,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.5357,                  1.406,                 1.6457,                0.55032,                0.38059,                0.40572,                0.16452,                 2.0715,                 1.9676,                 2.0179,             0.00074282,             0.00074282,             0.00074282
                    114,                 1.5456,                 1.4171,                 1.6534,                0.54724,                0.41138,                0.42433,                0.17588,                 2.0464,                 1.9129,                 1.9744,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.5429,                 1.3769,                 1.6473,                0.48022,                0.42673,                0.40892,                0.17362,                 2.0073,                 1.9418,                 1.9342,             0.00072631,             0.00072631,             0.00072631
                    116,                 1.5485,                 1.3783,                 1.6621,                0.51822,                0.41677,                 0.4083,                 0.1691,                 2.0453,                 1.9335,                 1.9943,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.5315,                 1.3772,                 1.6345,                0.52448,                0.40208,                0.42226,                0.17053,                 2.1035,                  1.924,                 2.0322,             0.00070981,             0.00070981,             0.00070981
                    118,                 1.5503,                 1.3703,                  1.641,                0.59763,                0.40628,                0.45091,                0.18999,                 2.0597,                 1.8642,                  1.987,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.5488,                 1.3894,                 1.6564,                0.55045,                0.40376,                0.42779,                0.16969,                 2.0728,                 1.9219,                  2.013,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.5155,                 1.3456,                  1.643,                0.55536,                0.39872,                0.42226,                0.16809,                 2.1399,                 1.9295,                 2.0396,             0.00068505,             0.00068505,             0.00068505
                    121,                 1.5165,                 1.3516,                 1.6512,                0.51345,                0.44641,                0.42861,                0.18693,                 2.0564,                 1.8859,                 1.9886,              0.0006768,              0.0006768,              0.0006768
                    122,                 1.5356,                 1.3711,                 1.6459,                0.49354,                0.43404,                0.40853,                0.16936,                 2.0808,                  1.935,                 2.0104,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.5143,                 1.3658,                  1.612,                0.55908,                0.39829,                0.42553,                0.17247,                  2.087,                  1.891,                 2.0085,              0.0006603,              0.0006603,              0.0006603
                    124,                  1.524,                 1.3563,                 1.6438,                0.46546,                0.43452,                 0.4064,                0.16253,                 2.1119,                 1.9166,                 2.0231,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.5386,                 1.3742,                 1.6434,                0.49073,                0.40741,                0.39935,                0.16247,                 2.0991,                 1.9297,                 2.0289,              0.0006438,              0.0006438,              0.0006438
                    126,                 1.5346,                 1.3872,                 1.6555,                0.52102,                0.39846,                0.40079,                0.16446,                 2.0903,                  1.942,                   2.03,             0.00063554,             0.00063554,             0.00063554
                    127,                  1.523,                 1.3507,                 1.6351,                0.53193,                0.39785,                  0.405,                0.15669,                 2.1552,                 1.9334,                 2.0622,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.4966,                 1.3055,                 1.6169,                0.50539,                0.40378,                0.41362,                 0.1667,                 2.1292,                  1.916,                 2.0444,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.5163,                 1.3031,                 1.6448,                0.52716,                0.39348,                0.41056,                0.16279,                 2.1529,                 1.9946,                 2.0664,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.4858,                 1.2871,                 1.6067,                0.51502,                0.39307,                0.40593,                0.17218,                 2.0967,                 1.8921,                 2.0329,             0.00060254,             0.00060254,             0.00060254
                    131,                 1.5093,                 1.3024,                 1.6409,                0.52423,                0.39352,                0.39125,                0.15943,                  2.109,                 1.9703,                  2.034,             0.00059429,             0.00059429,             0.00059429
                    132,                  1.503,                 1.2973,                 1.6201,                0.48284,                0.42559,                0.40594,                0.17471,                 2.0706,                 1.8805,                 2.0031,             0.00058603,             0.00058603,             0.00058603
                    133,                 1.4943,                 1.2752,                 1.5968,                0.49514,                0.40325,                0.39105,                0.16192,                 2.1171,                 1.9536,                 2.0473,             0.00057778,             0.00057778,             0.00057778
                    134,                 1.5019,                 1.2976,                  1.625,                0.58407,                0.39959,                0.41693,                0.16888,                  2.109,                 1.9341,                 2.0215,             0.00056953,             0.00056953,             0.00056953
                    135,                 1.4987,                  1.308,                 1.6218,                0.50692,                0.41903,                0.41064,                 0.1794,                 2.0752,                 1.9155,                 2.0095,             0.00056128,             0.00056128,             0.00056128
                    136,                 1.5101,                 1.2838,                 1.6177,                0.46941,                0.42021,                0.38972,                 0.1543,                 2.1732,                   1.99,                 2.0766,             0.00055303,             0.00055303,             0.00055303
                    137,                 1.5038,                 1.2907,                 1.6093,                0.49698,                0.41223,                0.40539,                0.16571,                 2.1418,                 1.9615,                 2.0728,             0.00054478,             0.00054478,             0.00054478
                    138,                 1.4755,                 1.2533,                 1.6168,                0.48923,                0.40243,                0.38706,                0.15867,                 2.1679,                 1.9825,                 2.0862,             0.00053652,             0.00053652,             0.00053652
                    139,                 1.5067,                 1.2715,                 1.6153,                0.51155,                0.39434,                0.40663,                0.17142,                 2.0939,                 1.9396,                 2.0293,             0.00052827,             0.00052827,             0.00052827
                    140,                 1.4769,                  1.305,                 1.6081,                0.53333,                0.38884,                0.40618,                 0.1724,                 2.0699,                 2.0009,                 2.0258,             0.00052002,             0.00052002,             0.00052002
                    141,                 1.4839,                 1.2287,                  1.608,                0.55707,                0.38534,                0.41303,                0.17584,                 2.0646,                 1.9175,                 2.0333,             0.00051177,             0.00051177,             0.00051177
                    142,                 1.4755,                  1.251,                 1.6031,                0.49205,                0.42334,                0.41978,                 0.1722,                 2.0689,                 1.8657,                 2.0011,             0.00050352,             0.00050352,             0.00050352
                    143,                   1.45,                 1.2324,                 1.5913,                0.52823,                0.39468,                 0.3986,                0.16853,                 2.1313,                  1.951,                 2.0673,             0.00049527,             0.00049527,             0.00049527
                    144,                 1.4794,                 1.2236,                 1.6104,                0.50386,                0.42126,                0.41621,                0.16972,                 2.1338,                 1.8902,                 2.0352,             0.00048701,             0.00048701,             0.00048701
                    145,                 1.4446,                 1.1836,                  1.557,                0.53905,                0.40958,                0.41624,                0.16918,                 2.1188,                  1.871,                 2.0372,             0.00047876,             0.00047876,             0.00047876
                    146,                 1.4517,                 1.2291,                 1.5796,                0.50042,                0.38831,                0.39699,                 0.1614,                 2.1764,                 1.9282,                 2.0849,             0.00047051,             0.00047051,             0.00047051
                    147,                 1.4506,                 1.2388,                 1.5751,                0.52639,                0.40222,                 0.4088,                  0.169,                 2.1399,                 1.9324,                 2.0581,             0.00046226,             0.00046226,             0.00046226
                    148,                 1.4405,                  1.202,                 1.5705,                0.50164,                0.42453,                 0.4135,                0.17261,                 2.0974,                  1.914,                 2.0389,             0.00045401,             0.00045401,             0.00045401
                    149,                 1.4524,                 1.1994,                 1.5704,                0.55217,                0.41389,                0.43185,                0.18268,                 2.0897,                 1.8467,                 2.0369,             0.00044576,             0.00044576,             0.00044576
                    150,                  1.441,                 1.1739,                 1.5773,                0.53225,                0.40709,                0.42037,                 0.1756,                 2.1321,                 1.8832,                 2.0574,              0.0004375,              0.0004375,              0.0004375
                    151,                 1.4273,                 1.1768,                 1.5604,                 0.5655,                0.39943,                0.42934,                0.17831,                 2.1089,                 1.8651,                 2.0459,             0.00042925,             0.00042925,             0.00042925
                    152,                 1.4472,                 1.1882,                 1.5852,                0.55671,                0.39722,                0.42488,                0.17659,                 2.0915,                 1.8698,                  2.034,               0.000421,               0.000421,               0.000421
                    153,                 1.4598,                 1.2022,                 1.5913,                0.51923,                0.42918,                0.42643,                0.18276,                 2.1047,                 1.8632,                  2.029,             0.00041275,             0.00041275,             0.00041275
                    154,                 1.4248,                 1.1559,                 1.5599,                0.55272,                 0.3823,                0.40067,                0.17237,                 2.1429,                 1.8843,                 2.0661,              0.0004045,              0.0004045,              0.0004045
                    155,                 1.4263,                  1.169,                 1.5658,                0.51989,                0.41278,                 0.4036,                0.16812,                 2.1046,                 1.9209,                 2.0314,             0.00039625,             0.00039625,             0.00039625
                    156,                  1.417,                 1.1404,                 1.5663,                0.55937,                0.40769,                0.42427,                0.17191,                 2.1497,                 1.8988,                 2.0705,             0.00038799,             0.00038799,             0.00038799
                    157,                 1.4443,                 1.1589,                  1.558,                 0.4795,                0.44408,                0.42431,                0.18369,                  2.088,                 1.8481,                 2.0224,             0.00037974,             0.00037974,             0.00037974
                    158,                 1.4491,                 1.1728,                  1.567,                0.53069,                0.41141,                0.42689,                0.18259,                 2.0757,                 1.8618,                  1.999,             0.00037149,             0.00037149,             0.00037149
                    159,                 1.3918,                 1.1389,                 1.5297,                0.53545,                0.39667,                0.41881,                0.17471,                 2.1165,                  1.881,                 2.0413,             0.00036324,             0.00036324,             0.00036324
                    160,                 1.4204,                 1.1305,                 1.5365,                 0.5281,                0.41615,                0.42406,                 0.1746,                  2.116,                 1.8472,                 2.0419,             0.00035499,             0.00035499,             0.00035499
                    161,                 1.4235,                 1.1857,                 1.5613,                0.54653,                0.40027,                0.41278,                 0.1731,                 2.1035,                 1.8868,                 2.0445,             0.00034674,             0.00034674,             0.00034674
                    162,                 1.4229,                 1.1384,                  1.549,                0.54165,                0.38983,                0.40909,                0.17196,                 2.1184,                 1.8694,                 2.0536,             0.00033848,             0.00033848,             0.00033848
                    163,                  1.411,                 1.1184,                 1.5393,                 0.5557,                0.39272,                0.41537,                0.18094,                 2.1047,                 1.8829,                  2.048,             0.00033023,             0.00033023,             0.00033023
                    164,                 1.4147,                 1.1515,                 1.5336,                0.52828,                0.40414,                0.41308,                0.17301,                 2.1481,                 1.8954,                 2.0756,             0.00032198,             0.00032198,             0.00032198
                    165,                 1.3832,                  1.105,                 1.5233,                 0.5482,                0.39203,                0.41658,                0.17981,                 2.0959,                 1.9085,                 2.0336,             0.00031373,             0.00031373,             0.00031373
                    166,                 1.3897,                 1.1019,                   1.53,                0.56628,                0.37307,                0.41019,                0.17657,                 2.0947,                 1.9302,                 2.0425,             0.00030548,             0.00030548,             0.00030548
                    167,                 1.3995,                 1.1185,                 1.5374,                0.54945,                0.39097,                0.40636,                0.16905,                 2.1297,                 1.8806,                 2.0637,             0.00029723,             0.00029723,             0.00029723
                    168,                 1.3747,                 1.0869,                 1.5177,                0.48291,                0.41246,                0.39158,                0.16375,                 2.1144,                 1.9053,                 2.0578,             0.00028897,             0.00028897,             0.00028897
                    169,                  1.377,                 1.0856,                 1.5135,                0.51852,                0.39696,                0.40434,                0.16802,                 2.1374,                 1.8918,                 2.0741,             0.00028072,             0.00028072,             0.00028072
                    170,                 1.3908,                 1.0977,                 1.5295,                0.51399,                0.40556,                 0.4105,                0.17409,                 2.1186,                 1.9101,                 2.0744,             0.00027247,             0.00027247,             0.00027247
                    171,                 1.3843,                 1.0736,                 1.5039,                 0.5146,                0.41503,                0.41393,                0.17558,                 2.1156,                 1.9001,                 2.0568,             0.00026422,             0.00026422,             0.00026422
                    172,                 1.3716,                 1.0823,                 1.5093,                0.50419,                0.42253,                0.40088,                0.16624,                 2.1292,                 1.9278,                 2.0663,             0.00025597,             0.00025597,             0.00025597
                    173,                 1.3869,                 1.0852,                 1.5295,                0.48936,                0.41679,                0.41187,                0.17134,                 2.1246,                 1.8856,                 2.0713,             0.00024772,             0.00024772,             0.00024772
                    174,                 1.3929,                 1.0938,                 1.5404,                0.48326,                0.42747,                0.40335,                0.16605,                 2.1456,                 1.9194,                 2.0938,             0.00023946,             0.00023946,             0.00023946
                    175,                 1.3708,                 1.0662,                 1.5134,                0.50743,                0.40246,                0.40447,                0.16929,                 2.1138,                  1.892,                 2.0576,             0.00023121,             0.00023121,             0.00023121
                    176,                 1.3578,                 1.0418,                 1.5093,                0.49567,                0.42195,                0.40321,                0.16381,                 2.1473,                 1.9046,                 2.0777,             0.00022296,             0.00022296,             0.00022296
                    177,                 1.3801,                 1.0681,                 1.5098,                 0.5206,                  0.416,                0.41989,                0.17289,                 2.1247,                 1.8788,                 2.0637,             0.00021471,             0.00021471,             0.00021471
                    178,                 1.3675,                 1.0634,                 1.4913,                0.51766,                0.42221,                0.41485,                0.16775,                  2.158,                  1.873,                 2.0842,             0.00020646,             0.00020646,             0.00020646
                    179,                 1.3643,                 1.0604,                 1.5023,                0.53949,                0.41545,                0.41834,                0.17538,                 2.1038,                 1.8584,                 2.0437,             0.00019821,             0.00019821,             0.00019821
                    180,                 1.3806,                 1.0519,                 1.4934,                0.54359,                0.40294,                0.41041,                0.16579,                 2.1588,                 1.8554,                  2.101,             0.00018995,             0.00018995,             0.00018995
                    181,                 1.3314,                 1.0312,                 1.4779,                0.54457,                0.40985,                0.40919,                0.17561,                 2.1078,                  1.908,                 2.0644,              0.0001817,              0.0001817,              0.0001817
                    182,                 1.3433,                 1.0141,                 1.4976,                0.53088,                0.40067,                0.40638,                0.17018,                 2.1535,                 1.9225,                 2.0852,             0.00017345,             0.00017345,             0.00017345
                    183,                 1.3442,                  1.004,                 1.4971,                0.52642,                 0.4102,                 0.4086,                0.17238,                 2.1138,                 1.8967,                 2.0537,              0.0001652,              0.0001652,              0.0001652
                    184,                 1.3322,                 1.0168,                 1.4825,                0.55439,                0.41074,                0.41729,                0.17689,                 2.1136,                 1.8752,                 2.0576,             0.00015695,             0.00015695,             0.00015695
                    185,                 1.3601,                 1.0134,                 1.4948,                0.53632,                0.42624,                0.41964,                0.17213,                   2.13,                  1.911,                 2.0693,              0.0001487,              0.0001487,              0.0001487
                    186,                 1.3463,                0.99488,                 1.4967,                0.53718,                0.40104,                0.41009,                0.16672,                  2.163,                 1.8898,                 2.0917,             0.00014044,             0.00014044,             0.00014044
                    187,                 1.3203,                0.98532,                 1.4757,                0.53994,                0.42653,                0.42051,                0.17341,                 2.1128,                 1.8694,                  2.051,             0.00013219,             0.00013219,             0.00013219
                    188,                 1.3233,                0.97438,                 1.4822,                 0.5196,                0.42547,                  0.426,                 0.1765,                 2.1288,                 1.8657,                  2.061,             0.00012394,             0.00012394,             0.00012394
                    189,                 1.3267,                 0.9732,                 1.4834,                0.52427,                0.42105,                0.42967,                0.17849,                 2.1511,                 1.8565,                 2.0838,             0.00011569,             0.00011569,             0.00011569
                    190,                 1.2887,                0.92243,                 1.4527,                0.56752,                0.40184,                0.43165,                0.17924,                 2.1336,                   1.85,                 2.0827,             0.00010744,             0.00010744,             0.00010744
                    191,                 1.3148,                0.96801,                 1.4883,                0.52532,                0.42337,                0.42208,                0.17166,                  2.153,                 1.8979,                 2.1009,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    192,                 1.3024,                0.96508,                 1.4732,                0.52022,                0.42752,                0.42362,                0.17344,                 2.1417,                 1.8814,                 2.0866,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    193,                 1.3047,                0.98327,                 1.4781,                0.54009,                0.40504,                0.42199,                0.17938,                 2.1332,                 1.8674,                 2.0761,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    194,                 1.3171,                0.95434,                  1.481,                0.55307,                0.40107,                 0.4233,                0.17635,                 2.1466,                 1.8689,                 2.0833,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    195,                 1.2968,                0.94194,                 1.4611,                 0.5225,                0.43294,                0.43467,                0.18079,                 2.1229,                 1.8544,                 2.0615,              6.618e-05,              6.618e-05,              6.618e-05
                    196,                 1.2967,                0.93873,                 1.4597,                0.54134,                0.42592,                0.43044,                0.18175,                 2.1103,                 1.8662,                 2.0551,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    197,                 1.2828,                0.93011,                 1.4629,                0.54711,                0.42044,                0.43304,                0.17917,                 2.1365,                 1.8783,                 2.0735,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    198,                  1.292,                0.93648,                  1.458,                0.52995,                0.43423,                0.42714,                0.17388,                 2.1574,                 1.8875,                 2.0949,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    199,                 1.2939,                0.93883,                 1.4735,                0.53497,                0.42545,                0.42033,                0.17277,                   2.16,                 1.8988,                 2.1042,             3.3173e-05,             3.3173e-05,             3.3173e-05
                    200,                 1.2683,                 0.9112,                 1.4536,                0.54813,                0.41297,                0.42485,                0.17249,                 2.1625,                 1.8821,                 2.1051,             2.4922e-05,             2.4922e-05,             2.4922e-05
